WIKIDATA,NAME,MS_FB,MS_FB_PARE
Q7130243,Panchagarh-1,country:bd/js-constituency:panchagarh-1,country:bd
Q7130244,Panchagarh-2,country:bd/js-constituency:panchagarh-2,country:bd
Q17070594,Sherpur-1,country:bd/js-constituency:sherpur-1,country:bd
Q20938722,Joypurhat-1,country:bd/js-constituency:joypurhat-1,country:bd
Q20938725,Joypurhat-2,country:bd/js-constituency:joypurhat-2,country:bd
Q21251327,Nilphamari-1,country:bd/js-constituency:nilphamari-1,country:bd
Q21252160,Shariatpur-3,country:bd/js-constituency:shariatpur-3,country:bd
Q21438707,Nilphamari-2,country:bd/js-constituency:nilphamari-2,country:bd
Q21523037,Nilphamari-3,country:bd/js-constituency:nilphamari-3,country:bd
Q22162551,Jessore-1,country:bd/js-constituency:jessore-1,country:bd
Q22162588,Jessore-2,country:bd/js-constituency:jessore-2,country:bd
Q22162816,Jessore-3,country:bd/js-constituency:jessore-3,country:bd
Q22166743,Jessore-5,country:bd/js-constituency:jessore-5,country:bd
Q22167157,Jessore-4,country:bd/js-constituency:jessore-4,country:bd
Q22242752,Jessore-6,country:bd/js-constituency:jessore-6,country:bd
Q22665417,Magura-1,country:bd/js-constituency:magura-1,country:bd
Q22665681,Magura-2,country:bd/js-constituency:magura-2,country:bd
Q22979468,Nilphamari-4,country:bd/js-constituency:nilphamari-4,country:bd
Q23008281,Lalmonirhat-1,country:bd/js-constituency:lalmonirhat-1,country:bd
Q23023970,Rangpur-1,country:bd/js-constituency:rangpur-1,country:bd
Q23809760,Lakshmipur-2,country:bd/js-constituency:lakshmipur-2,country:bd
Q24672190,Rajshahi-1,country:bd/js-constituency:rajshahi-1,country:bd
Q24692950,Thakurgaon-1,country:bd/js-constituency:thakurgaon-1,country:bd
Q24692952,Thakurgaon-2,country:bd/js-constituency:thakurgaon-2,country:bd
Q24692955,Thakurgaon-3,country:bd/js-constituency:thakurgaon-3,country:bd
Q24692958,Rangpur-2,country:bd/js-constituency:rangpur-2,country:bd
Q24692962,Rangpur-3,country:bd/js-constituency:rangpur-3,country:bd
Q24692965,Rangpur-4,country:bd/js-constituency:rangpur-4,country:bd
Q24692967,Rangpur-5,country:bd/js-constituency:rangpur-5,country:bd
Q24692968,Rangpur-6,country:bd/js-constituency:rangpur-6,country:bd
Q24692971,Dinajpur-1,country:bd/js-constituency:dinajpur-1,country:bd
Q24692973,Dinajpur-6,country:bd/js-constituency:dinajpur-6,country:bd
Q24692976,Gaibandha-5,country:bd/js-constituency:gaibandha-5,country:bd
Q24692978,Gaibandha-4,country:bd/js-constituency:gaibandha-4,country:bd
Q24692981,Pabna-5,country:bd/js-constituency:pabna-5,country:bd
Q24692983,Dhaka-1,country:bd/js-constituency:dhaka-1,country:bd
Q24692986,Dhaka-2,country:bd/js-constituency:dhaka-2,country:bd
Q24692988,Dhaka-3,country:bd/js-constituency:dhaka-3,country:bd
Q24692991,Dhaka-4,country:bd/js-constituency:dhaka-4,country:bd
Q24692994,Dhaka-5,country:bd/js-constituency:dhaka-5,country:bd
Q24692997,Dhaka-6,country:bd/js-constituency:dhaka-6,country:bd
Q24693000,Dhaka-7,country:bd/js-constituency:dhaka-7,country:bd
Q24693003,Dhaka-8,country:bd/js-constituency:dhaka-8,country:bd
Q24693006,Dhaka-9,country:bd/js-constituency:dhaka-9,country:bd
Q24693008,Dhaka-10,country:bd/js-constituency:dhaka-10,country:bd
Q24693011,Dhaka-11,country:bd/js-constituency:dhaka-11,country:bd
Q24693014,Dhaka-12,country:bd/js-constituency:dhaka-12,country:bd
Q24693016,Dhaka-13,country:bd/js-constituency:dhaka-13,country:bd
Q24693019,Dhaka-14,country:bd/js-constituency:dhaka-14,country:bd
Q24693022,Dhaka-15,country:bd/js-constituency:dhaka-15,country:bd
Q24693024,Dhaka-16,country:bd/js-constituency:dhaka-16,country:bd
Q24693027,Dhaka-17,country:bd/js-constituency:dhaka-17,country:bd
Q24693029,Dhaka-18,country:bd/js-constituency:dhaka-18,country:bd
Q24693033,Dhaka-19,country:bd/js-constituency:dhaka-19,country:bd
Q24693036,Dhaka-20,country:bd/js-constituency:dhaka-20,country:bd
Q24693039,Gazipur-1,country:bd/js-constituency:gazipur-1,country:bd
Q24693041,Gazipur-2,country:bd/js-constituency:gazipur-2,country:bd
Q24693044,Gazipur-3,country:bd/js-constituency:gazipur-3,country:bd
Q24693047,Mymensingh-1,country:bd/js-constituency:mymensingh-1,country:bd
Q24693050,Mymensingh-2,country:bd/js-constituency:mymensingh-2,country:bd
Q24693052,Mymensingh-3,country:bd/js-constituency:mymensingh-3,country:bd
Q24693055,Mymensingh-4,country:bd/js-constituency:mymensingh-4,country:bd
Q24693057,Mymensingh-5,country:bd/js-constituency:mymensingh-5,country:bd
Q24693062,Mymensingh-6,country:bd/js-constituency:mymensingh-6,country:bd
Q24693065,Mymensingh-7,country:bd/js-constituency:mymensingh-7,country:bd
Q24693069,Mymensingh-8,country:bd/js-constituency:mymensingh-8,country:bd
Q24693071,Mymensingh-9,country:bd/js-constituency:mymensingh-9,country:bd
Q24693074,Mymensingh-10,country:bd/js-constituency:mymensingh-10,country:bd
Q24693076,Mymensingh-11,country:bd/js-constituency:mymensingh-11,country:bd
Q24693080,Sherpur-3,country:bd/js-constituency:sherpur-3,country:bd
Q24693082,Tangail-1,country:bd/js-constituency:tangail-1,country:bd
Q24693086,Tangail-2,country:bd/js-constituency:tangail-2,country:bd
Q24693090,Tangail-3,country:bd/js-constituency:tangail-3,country:bd
Q24693092,Tangail-4,country:bd/js-constituency:tangail-4,country:bd
Q24693096,Tangail-5,country:bd/js-constituency:tangail-5,country:bd
Q24693099,Tangail-6,country:bd/js-constituency:tangail-6,country:bd
Q24693104,Tangail-7,country:bd/js-constituency:tangail-7,country:bd
Q24693107,Tangail-8,country:bd/js-constituency:tangail-8,country:bd
Q24693112,Jamalpur-1,country:bd/js-constituency:jamalpur-1,country:bd
Q24693118,Jamalpur-2,country:bd/js-constituency:jamalpur-2,country:bd
Q24693122,Jamalpur-3,country:bd/js-constituency:jamalpur-3,country:bd
Q24693125,Jamalpur-4,country:bd/js-constituency:jamalpur-4,country:bd
Q24693128,Jamalpur-5,country:bd/js-constituency:jamalpur-5,country:bd
Q24693131,Sherpur-2,country:bd/js-constituency:sherpur-2,country:bd
Q24693133,Bogra-1,country:bd/js-constituency:bogra-1,country:bd
Q24693136,Bogra-2,country:bd/js-constituency:bogra-2,country:bd
Q24693139,Bogra-3,country:bd/js-constituency:bogra-3,country:bd
Q24693141,Bogra-4,country:bd/js-constituency:bogra-4,country:bd
Q24693148,Bogra-5,country:bd/js-constituency:bogra-5,country:bd
Q24693152,Bogra-6,country:bd/js-constituency:bogra-6,country:bd
Q24693155,Bogra-7,country:bd/js-constituency:bogra-7,country:bd
Q24693157,Narail-1,country:bd/js-constituency:narail-1,country:bd
Q24693160,Narail-2,country:bd/js-constituency:narail-2,country:bd
Q24693163,Bagerhat-1,country:bd/js-constituency:bagerhat-1,country:bd
Q24693166,Bagerhat-2,country:bd/js-constituency:bagerhat-2,country:bd
Q24693168,Bagerhat-3,country:bd/js-constituency:bagerhat-3,country:bd
Q24693170,Bagerhat-4,country:bd/js-constituency:bagerhat-4,country:bd
Q24693173,Khulna-1,country:bd/js-constituency:khulna-1,country:bd
Q24693175,Khulna-2,country:bd/js-constituency:khulna-2,country:bd
Q24693178,Khulna-3,country:bd/js-constituency:khulna-3,country:bd
Q24693181,Khulna-4,country:bd/js-constituency:khulna-4,country:bd
Q24693183,Khulna-5,country:bd/js-constituency:khulna-5,country:bd
Q24693186,Khulna-6,country:bd/js-constituency:khulna-6,country:bd
Q24693188,Jhenaidah-1,country:bd/js-constituency:jhenaidah-1,country:bd
Q24693193,Jhenaidah-2,country:bd/js-constituency:jhenaidah-2,country:bd
Q24693195,Jhenaidah-4,country:bd/js-constituency:jhenaidah-4,country:bd
Q24693198,Jhenaidah-3,country:bd/js-constituency:jhenaidah-3,country:bd
Q24693201,Dinajpur-2,country:bd/js-constituency:dinajpur-2,country:bd
Q24693203,Dinajpur-3,country:bd/js-constituency:dinajpur-3,country:bd
Q24693206,Dinajpur-4,country:bd/js-constituency:dinajpur-4,country:bd
Q24693209,Dinajpur-5,country:bd/js-constituency:dinajpur-5,country:bd
Q24693212,Lalmonirhat-2,country:bd/js-constituency:lalmonirhat-2,country:bd
Q24693215,Lalmonirhat-3,country:bd/js-constituency:lalmonirhat-3,country:bd
Q24693216,Kurigram-1,country:bd/js-constituency:kurigram-1,country:bd
Q24693218,Kurigram-2,country:bd/js-constituency:kurigram-2,country:bd
Q24693222,Kurigram-3,country:bd/js-constituency:kurigram-3,country:bd
Q24693226,Kurigram-4,country:bd/js-constituency:kurigram-4,country:bd
Q24693228,Gaibandha-1,country:bd/js-constituency:gaibandha-1,country:bd
Q24693231,Gaibandha-2,country:bd/js-constituency:gaibandha-2,country:bd
Q24693234,Gaibandha-3,country:bd/js-constituency:gaibandha-3,country:bd
Q24693236,Chapai Nawabganj-1,country:bd/js-constituency:chapai-nawabganj-1,country:bd
Q24693238,Chapai Nawabganj-2,country:bd/js-constituency:chapai-nawabganj-2,country:bd
Q24693244,Chapai Nawabganj-3,country:bd/js-constituency:chapai-nawabganj-3,country:bd
Q24693249,Naogaon-1,country:bd/js-constituency:naogaon-1,country:bd
Q24693270,Naogaon-2,country:bd/js-constituency:naogaon-2,country:bd
Q24693279,Naogaon-3,country:bd/js-constituency:naogaon-3,country:bd
Q24693303,Naogaon-4,country:bd/js-constituency:naogaon-4,country:bd
Q24693309,Naogaon-5,country:bd/js-constituency:naogaon-5,country:bd
Q24693315,Naogaon-6,country:bd/js-constituency:naogaon-6,country:bd
Q24693322,Rajshahi-2,country:bd/js-constituency:rajshahi-2,country:bd
Q24693326,Rajshahi-3,country:bd/js-constituency:rajshahi-3,country:bd
Q24693331,Rajshahi-4,country:bd/js-constituency:rajshahi-4,country:bd
Q24693337,Rajshahi-5,country:bd/js-constituency:rajshahi-5,country:bd
Q24693344,Rajshahi-6,country:bd/js-constituency:rajshahi-6,country:bd
Q24693349,Natore-1,country:bd/js-constituency:natore-1,country:bd
Q24693355,Natore-2,country:bd/js-constituency:natore-2,country:bd
Q24693360,Natore-3,country:bd/js-constituency:natore-3,country:bd
Q24693366,Natore-4,country:bd/js-constituency:natore-4,country:bd
Q24693373,Sirajganj-1,country:bd/js-constituency:sirajganj-1,country:bd
Q24693379,Sirajganj-2,country:bd/js-constituency:sirajganj-2,country:bd
Q24693384,Sirajganj-3,country:bd/js-constituency:sirajganj-3,country:bd
Q24693390,Sirajganj-4,country:bd/js-constituency:sirajganj-4,country:bd
Q24693395,Sirajganj-5,country:bd/js-constituency:sirajganj-5,country:bd
Q24693402,Sirajganj-6,country:bd/js-constituency:sirajganj-6,country:bd
Q24693409,Pabna-1,country:bd/js-constituency:pabna-1,country:bd
Q24693415,Pabna-2,country:bd/js-constituency:pabna-2,country:bd
Q24693421,Pabna-3,country:bd/js-constituency:pabna-3,country:bd
Q24693427,Pabna-4,country:bd/js-constituency:pabna-4,country:bd
Q24693432,Barguna-1,country:bd/js-constituency:barguna-1,country:bd
Q24693438,Barguna-2,country:bd/js-constituency:barguna-2,country:bd
Q24693444,Patuakhali-1,country:bd/js-constituency:patuakhali-1,country:bd
Q24693450,Patuakhali-2,country:bd/js-constituency:patuakhali-2,country:bd
Q24693456,Patuakhali-3,country:bd/js-constituency:patuakhali-3,country:bd
Q24693461,Patuakhali-4,country:bd/js-constituency:patuakhali-4,country:bd
Q24693467,Bhola-1,country:bd/js-constituency:bhola-1,country:bd
Q24693472,Bhola-2,country:bd/js-constituency:bhola-2,country:bd
Q24693477,Bhola-3,country:bd/js-constituency:bhola-3,country:bd
Q24693484,Bhola-4,country:bd/js-constituency:bhola-4,country:bd
Q24693491,Barisal-1,country:bd/js-constituency:barisal-1,country:bd
Q24693497,Barisal-2,country:bd/js-constituency:barisal-2,country:bd
Q24693503,Barisal-3,country:bd/js-constituency:barisal-3,country:bd
Q24693509,Barisal-4,country:bd/js-constituency:barisal-4,country:bd
Q24693515,Barisal-5,country:bd/js-constituency:barisal-5,country:bd
Q24693524,Barisal-6,country:bd/js-constituency:barisal-6,country:bd
Q24693529,Jhalokati-1,country:bd/js-constituency:jhalokati-1,country:bd
Q24693535,Jhalokati-2,country:bd/js-constituency:jhalokati-2,country:bd
Q24693540,Pirojpur-1,country:bd/js-constituency:pirojpur-1,country:bd
Q24693546,Pirojpur-2,country:bd/js-constituency:pirojpur-2,country:bd
Q24693551,Pirojpur-3,country:bd/js-constituency:pirojpur-3,country:bd
Q24693557,Bandarban Hills,country:bd/js-constituency:bandarban-hills,country:bd
Q24693564,Rangamati,country:bd/js-constituency:rangamati,country:bd
Q24693572,Khagrachhari,country:bd/js-constituency:khagrachhari,country:bd
Q24693577,Netrokona-1,country:bd/js-constituency:netrokona-1,country:bd
Q24693584,Netrokona-2,country:bd/js-constituency:netrokona-2,country:bd
Q24693591,Netrokona-3,country:bd/js-constituency:netrokona-3,country:bd
Q24693602,Netrokona-4,country:bd/js-constituency:netrokona-4,country:bd
Q24693621,Netrokona-5,country:bd/js-constituency:netrokona-5,country:bd
Q24693637,Kishoreganj-1,country:bd/js-constituency:kishoreganj-1,country:bd
Q24693653,Kishoreganj-2,country:bd/js-constituency:kishoreganj-2,country:bd
Q24693671,Kishoreganj-3,country:bd/js-constituency:kishoreganj-3,country:bd
Q24693687,Kishoreganj-4,country:bd/js-constituency:kishoreganj-4,country:bd
Q24693704,Kishoreganj-5,country:bd/js-constituency:kishoreganj-5,country:bd
Q24693722,Kishoreganj-6,country:bd/js-constituency:kishoreganj-6,country:bd
Q24693742,Manikganj-1,country:bd/js-constituency:manikganj-1,country:bd
Q24693762,Manikganj-2,country:bd/js-constituency:manikganj-2,country:bd
Q24693778,Manikganj-3,country:bd/js-constituency:manikganj-3,country:bd
Q24693794,Munshiganj-1,country:bd/js-constituency:munshiganj-1,country:bd
Q24693810,Munshiganj-2,country:bd/js-constituency:munshiganj-2,country:bd
Q24693827,Munshiganj-3,country:bd/js-constituency:munshiganj-3,country:bd
Q24693844,Sunamganj-1,country:bd/js-constituency:sunamganj-1,country:bd
Q24693858,Sunamganj-2,country:bd/js-constituency:sunamganj-2,country:bd
Q24693872,Sunamganj-3,country:bd/js-constituency:sunamganj-3,country:bd
Q24693888,Sunamganj-4,country:bd/js-constituency:sunamganj-4,country:bd
Q24693900,Sunamganj-5,country:bd/js-constituency:sunamganj-5,country:bd
Q24693915,Sylhet-1,country:bd/js-constituency:sylhet-1,country:bd
Q24693928,Sylhet-2,country:bd/js-constituency:sylhet-2,country:bd
Q24693940,Sylhet-3,country:bd/js-constituency:sylhet-3,country:bd
Q24693953,Sylhet-4,country:bd/js-constituency:sylhet-4,country:bd
Q24693964,Sylhet-5,country:bd/js-constituency:sylhet-5,country:bd
Q24693979,Sylhet-6,country:bd/js-constituency:sylhet-6,country:bd
Q59390111,reserved seat for Women,country:bd/js-constituency:reserved-women,country:bd
Q24693994,Maulvibazar-1,country:bd/js-constituency:maulvibazar-1,country:bd
Q24694009,Maulvibazar-2,country:bd/js-constituency:maulvibazar-2,country:bd
Q24694023,Maulvibazar-3,country:bd/js-constituency:maulvibazar-3,country:bd
Q24694035,Maulvibazar-4,country:bd/js-constituency:maulvibazar-4,country:bd
Q24694048,Habiganj-1,country:bd/js-constituency:habiganj-1,country:bd
Q24694060,Habiganj-2,country:bd/js-constituency:habiganj-2,country:bd
Q24694073,Habiganj-3,country:bd/js-constituency:habiganj-3,country:bd
Q24694086,Habiganj-4,country:bd/js-constituency:habiganj-4,country:bd
Q24694101,Brahmanbaria-1,country:bd/js-constituency:brahmanbaria-1,country:bd
Q24694114,Brahmanbaria-2,country:bd/js-constituency:brahmanbaria-2,country:bd
Q24694127,Brahmanbaria-3,country:bd/js-constituency:brahmanbaria-3,country:bd
Q24694135,Brahmanbaria-4,country:bd/js-constituency:brahmanbaria-4,country:bd
Q24694140,Brahmanbaria-5,country:bd/js-constituency:brahmanbaria-5,country:bd
Q24694153,Brahmanbaria-6,country:bd/js-constituency:brahmanbaria-6,country:bd
Q24694167,Comilla-1,country:bd/js-constituency:comilla-1,country:bd
Q24694173,Comilla-2,country:bd/js-constituency:comilla-2,country:bd
Q24694175,Comilla-3,country:bd/js-constituency:comilla-3,country:bd
Q24694178,Comilla-4,country:bd/js-constituency:comilla-4,country:bd
Q24694181,Comilla-5,country:bd/js-constituency:comilla-5,country:bd
Q24694183,Comilla-6,country:bd/js-constituency:comilla-6,country:bd
Q24694186,Comilla-7,country:bd/js-constituency:comilla-7,country:bd
Q24694190,Comilla-8,country:bd/js-constituency:comilla-8,country:bd
Q24694193,Comilla-9,country:bd/js-constituency:comilla-9,country:bd
Q24694195,Comilla-10,country:bd/js-constituency:comilla-10,country:bd
Q24694198,Comilla-11,country:bd/js-constituency:comilla-11,country:bd
Q24694200,Chandpur-1,country:bd/js-constituency:chandpur-1,country:bd
Q24694203,Chandpur-2,country:bd/js-constituency:chandpur-2,country:bd
Q24694206,Chandpur-3,country:bd/js-constituency:chandpur-3,country:bd
Q24694208,Chandpur-4,country:bd/js-constituency:chandpur-4,country:bd
Q24694211,Chandpur-5,country:bd/js-constituency:chandpur-5,country:bd
Q24694213,Satkhira-1,country:bd/js-constituency:satkhira-1,country:bd
Q24694216,Satkhira-2,country:bd/js-constituency:satkhira-2,country:bd
Q24694219,Satkhira-3,country:bd/js-constituency:satkhira-3,country:bd
Q24694221,Satkhira-4,country:bd/js-constituency:satkhira-4,country:bd
Q24694226,Feni-1,country:bd/js-constituency:feni-1,country:bd
Q24694228,Feni-2,country:bd/js-constituency:feni-2,country:bd
Q24694231,Feni-3,country:bd/js-constituency:feni-3,country:bd
Q24694233,Noakhali-1,country:bd/js-constituency:noakhali-1,country:bd
Q24694236,Noakhali-2,country:bd/js-constituency:noakhali-2,country:bd
Q24694242,Noakhali-3,country:bd/js-constituency:noakhali-3,country:bd
Q24694246,Noakhali-4,country:bd/js-constituency:noakhali-4,country:bd
Q24694250,Noakhali-5,country:bd/js-constituency:noakhali-5,country:bd
Q24694252,Noakhali-6,country:bd/js-constituency:noakhali-6,country:bd
Q24694258,Lakshmipur-1,country:bd/js-constituency:lakshmipur-1,country:bd
Q24694271,Lakshmipur-3,country:bd/js-constituency:lakshmipur-3,country:bd
Q24694284,Lakshmipur-4,country:bd/js-constituency:lakshmipur-4,country:bd
Q24694297,Chittagong-1,country:bd/js-constituency:chittagong-1,country:bd
Q24694310,Chittagong-2,country:bd/js-constituency:chittagong-2,country:bd
Q24694323,Chittagong-3,country:bd/js-constituency:chittagong-3,country:bd
Q24694334,Chittagong-4,country:bd/js-constituency:chittagong-4,country:bd
Q24694350,Chittagong-5,country:bd/js-constituency:chittagong-5,country:bd
Q24694367,Chittagong-6,country:bd/js-constituency:chittagong-6,country:bd
Q24694379,Chittagong-7,country:bd/js-constituency:chittagong-7,country:bd
Q24694387,Chittagong-8,country:bd/js-constituency:chittagong-8,country:bd
Q24694394,Chittagong-9,country:bd/js-constituency:chittagong-9,country:bd
Q24694396,Chittagong-10,country:bd/js-constituency:chittagong-10,country:bd
Q24694399,Chittagong-11,country:bd/js-constituency:chittagong-11,country:bd
Q24694401,Chittagong-12,country:bd/js-constituency:chittagong-12,country:bd
